image,image_timestamp,pose_timestamp,car_S1_pose_x,car_S1_pose_y,car_S1_pose_angle,self_pose_x,self_pose_y,self_pose_angle,car_S3_pose_x,car_S3_pose_y,car_S3_pose_angle
none,none,1755774949911204550,491.41937255859375,-271.58984375,-72.13582611083984,585.58203125,635.6297607421875,-144.35995483398438,-154.55340576171875,-494.8502197265625,102.62735748291016
none,none,1755774949922468025,491.4132995605469,-271.5986022949219,-72.13501739501953,585.9359741210938,635.3153686523438,-144.76930236816406,-153.36439514160156,-494.9427795410156,103.75619506835938
none,none,1755774949931567764,491.4002380371094,-271.5876770019531,-72.1409683227539,586.1939697265625,634.8439331054688,-144.72804260253906,-152.21759033203125,-494.9690246582031,104.88600158691406
none,none,1755774949943007072,491.39501953125,-271.58074951171875,-72.13887023925781,586.4895629882812,634.6634521484375,-145.5522918701172,-151.0465545654297,-494.99810791015625,106.0201644897461
none,none,1755774949952673921,491.39141845703125,-271.5719909667969,-72.13731384277344,586.4783325195312,634.2089233398438,-145.7899169921875,-149.84718322753906,-495.0783386230469,107.15902709960938
none,none,1755774949964773968,491.3927917480469,-271.5873718261719,-72.1395492553711,586.9672241210938,634.144287109375,-146.4105682373047,-148.5520782470703,-495.1593933105469,108.32551574707031
none,none,1755774949974695076,491.3873291015625,-271.58795166015625,-72.13481903076172,586.4155883789062,633.8464965820312,-146.38223266601562,-147.27865600585938,-495.1390380859375,109.55310821533203
none,none,1755774949984738628,491.3910827636719,-271.6007995605469,-72.1388168334961,587.2289428710938,633.5303344726562,-147.1970977783203,-146.04710388183594,-495.08758544921875,110.69898986816406
none,none,1755774949989453728,491.399658203125,-271.5859680175781,-72.13720703125,587.4921264648438,633.1102905273438,-147.212158203125,-144.67027282714844,-495.07794189453125,111.86551666259766
none,none,1755774949998327061,491.4070129394531,-271.5807189941406,-72.1404037475586,588.0003051757812,632.921142578125,-148.0543212890625,-143.34507751464844,-495.0567932128906,113.00961303710938
none,none,1755774950013061583,491.4056091308594,-271.572998046875,-72.13085174560547,588.2705688476562,632.5463256835938,-148.4291229248047,-142.12095642089844,-494.8936767578125,114.23218536376953
none,none,1755774950022487581,491.3924865722656,-271.5751953125,-72.13605499267578,589.2320556640625,632.6167602539062,-149.15994262695312,-140.95791625976562,-494.6462097167969,115.47114562988281
none,none,1755774950034227759,491.3924560546875,-271.5760498046875,-72.13726806640625,589.068359375,632.0984497070312,-149.47056579589844,-139.7100830078125,-494.3714904785156,116.71482849121094
none,none,1755774950043421331,491.3861999511719,-271.5741271972656,-72.1346664428711,589.9483642578125,632.2190551757812,-149.80882263183594,-138.2908935546875,-494.1444396972656,118.00749206542969
none,none,1755774950050611185,491.39654541015625,-271.5739440917969,-72.13333892822266,589.79345703125,631.3801879882812,-150.29656982421875,-136.89768981933594,-493.9389343261719,119.24508666992188
none,none,1755774950059704609,491.4018249511719,-271.5642395019531,-72.13790130615234,590.747802734375,631.3004150390625,-151.07705688476562,-135.59695434570312,-493.6952209472656,120.49393463134766
none,none,1.7557749500726543e+18,491.4070129394531,-271.57379150390625,-72.13275146484375,590.5040283203125,630.6429443359375,-151.4626922607422,-134.3873748779297,-493.3726806640625,121.79210662841797
none,none,1.7557749500826545e+18,491.3968505859375,-271.5773010253906,-72.13302612304688,591.1924438476562,630.592041015625,-151.77940368652344,-133.0630340576172,-493.0223693847656,123.05686950683594
