image,image_timestamp,pose_timestamp,car_S1_pose_x,car_S1_pose_y,car_S1_pose_angle,self_pose_x,self_pose_y,self_pose_angle,car_S3_pose_x,car_S3_pose_y,car_S3_pose_angle
none,none,1755092133504590058,-919.0859985351562,119.26214599609375,173.7733154296875,-520.1782836914062,492.314208984375,136.11865234375,112.84146881103516,-821.6927490234375,-111.51390838623047
none,none,1755092133515194125,-919.0856323242188,119.27552032470703,173.77163696289062,-523.3585815429688,495.0487365722656,136.02456665039062,114.03982543945312,-821.8142700195312,-112.71154022216797
none,none,1755092133525796026,-919.0953979492188,119.28771209716797,173.76727294921875,-526.5599975585938,498.0442810058594,136.11517333984375,115.34073638916016,-821.9539184570312,-113.8885726928711
none,none,1755092133533505299,-919.1025390625,119.28435516357422,173.77549743652344,-529.8568115234375,500.4853210449219,135.9201202392578,116.6417465209961,-822.130859375,-115.1211929321289
none,none,1755092133558602393,-919.0870971679688,119.26773071289062,173.767822265625,-535.6427001953125,504.9906921386719,135.29737854003906,119.23080444335938,-822.3790283203125,-117.70984649658203
none,none,1755092133565345963,-919.0861206054688,119.28057861328125,173.77125549316406,-538.3564453125,507.0022888183594,135.25167846679688,120.46894073486328,-822.4581909179688,-119.06278991699219
none,none,1755092133573810661,-919.0887451171875,119.276611328125,173.76846313476562,nan,nan,nan,121.86115264892578,-822.6409912109375,-120.41705322265625
none,none,1755092133587136949,-919.0987548828125,119.2788314819336,173.77279663085938,-543.0703735351562,510.8538818359375,134.8054656982422,123.32278442382812,-822.9420166015625,-121.77102661132812
none,none,1755092133595742072,-919.105224609375,119.27970123291016,173.7659912109375,-544.97216796875,512.54541015625,134.66542053222656,124.77951049804688,-823.220703125,-123.18412780761719
none,none,1755092133601509846,-919.096923828125,119.27520751953125,173.77023315429688,-546.8123168945312,514.2587280273438,134.58572387695312,126.19867706298828,-823.494140625,-124.63663482666016
none,none,1755092133621433500,-919.0963134765625,119.27532196044922,173.7709503173828,-548.632080078125,515.7919311523438,134.38343811035156,127.65475463867188,-823.7899169921875,-126.20647430419922
none,none,1755092133624942275,-919.092529296875,119.27989196777344,173.77577209472656,-550.3861083984375,517.6233520507812,134.4740753173828,129.19515991210938,-824.148681640625,-127.76179504394531
none,none,1755092133634753639,-919.0949096679688,119.28016662597656,173.7696990966797,nan,nan,nan,130.74732971191406,-824.5321044921875,-129.2755889892578
none,none,1755092133648283760,-919.096923828125,119.2727279663086,173.7706756591797,-553.9610595703125,520.3179321289062,133.95738220214844,132.25457763671875,-825.0524291992188,-130.76309204101562
none,none,1755092133652623998,-919.1075439453125,119.27615356445312,173.7704620361328,-555.52294921875,521.9811401367188,134.1282196044922,133.71725463867188,-825.6675415039062,-132.30545043945312
none,none,1755092133663678102,-919.0926513671875,119.2730941772461,173.76959228515625,-558.126220703125,523.2242431640625,134.11207580566406,135.2201385498047,-826.2651977539062,-133.87936401367188
none,none,1755092133676752667,-919.0947265625,119.27420806884766,173.7682647705078,-558.3063354492188,523.7117919921875,133.88674926757812,136.72097778320312,-826.786376953125,-135.5641632080078
none,none,1.7550921336854758e+18,-919.0932006835938,119.27901458740234,173.7662811279297,-559.7505493164062,524.9591064453125,133.81130981445312,138.218017578125,-827.3884887695312,-137.2578125
none,none,1.7550921336954757e+18,-919.0933837890625,119.2758560180664,173.77481079101562,-561.30224609375,525.8924560546875,133.59580993652344,139.937255859375,-828.17626953125,-138.91970825195312
/home/pi/360_images/20250813/image_1755092133429682552.png,1755092133429682552,1.7550921337054758e+18,-919.09375,119.27326965332031,173.77381896972656,-562.639404296875,526.733154296875,133.3346710205078,141.61727905273438,-829.0720825195312,-140.58023071289062
none,none,1.755092133715476e+18,-919.0924072265625,119.27686309814453,173.7710418701172,-563.3926391601562,527.058349609375,133.03561401367188,143.12570190429688,-829.8866577148438,-142.21337890625
none,none,1.7550921337254758e+18,-919.092041015625,119.28510284423828,173.76577758789062,-564.588134765625,527.6787719726562,133.13858032226562,144.5855255126953,-830.7610473632812,-143.88848876953125
none,none,1.7550921337354757e+18,-919.0940551757812,119.27977752685547,173.76536560058594,-566.4359130859375,529.48974609375,132.97891235351562,146.0746612548828,-831.6934204101562,-145.6271209716797
