image,z1,z2,gt1,gt2,pred1,pred2,error1,error2,car_S1_pose_x,car_S1_pose_y,car_S1_pose_angle,self_pose_x,self_pose_y,self_pose_angle,car_S3_pose_x,car_S3_pose_y,car_S3_pose_angle
image_1755774970220666944.png,106.0,81.0,1270.9895791542083,862.9783197833049,632.8603253628262,1059.1264199187324,638.1292537913821,196.1481001354275,708.6036376953125,-805.1526489257812,-100.84749603271484,59.691184997558594,287.7001037597656,-133.3979034423828,-427.9829711914063,-424.2728576660156,-87.18875885009766
image_1755774970253525667.png,98.0,72.0,1264.0033148474029,854.99590303058,769.2654756207162,1212.5822139588583,494.7378392266867,357.5863109282783,708.6028442382812,-805.1447143554688,-100.86026000976562,46.01620864868164,271.2768249511719,-133.97586059570312,-425.5314636230469,-441.9277648925781,-88.24607849121094
image_1755774970323035235.png,74.0,63.0,1258.1821442029743,848.9827296687974,1178.480926394386,1366.0380079989845,79.70121780858835,517.0552783301871,708.603271484375,-805.148193359375,-100.87781524658205,31.7340030670166,255.45083618164065,-135.01498413085938,-423.1869201660156,-461.360595703125,-89.19942474365234
image_1755774970387639777.png,97.0,73.0,1251.6942000601186,842.9945921526762,786.3161194029524,1195.5315701766222,465.37808065716627,352.53697802394595,708.6012573242188,-805.1458129882812,-100.87649536132812,17.56658363342285,238.50616455078125,-135.63031005859375,-420.4922180175781,-481.7329406738281,-90.33722686767578
image_1755774970420661370.png,98.0,77.0,1247.981556443718,839.1690148100973,769.2654756207162,1127.3289950476772,478.7160808230019,288.1599802375798,708.6981201171875,-805.1880493164062,-100.93637084960938,4.893885612487793,225.40283203125,-136.1215057373047,-418.81103515625,-498.9443054199219,-91.22251892089844
image_1755774970488803812.png,103.0,69.0,1246.2404510220965,834.826590503688,684.012256709535,1263.7341453055672,562.2281943125615,428.9075548018792,712.0458984375,-806.1857299804688,-103.93212890625,-10.312285423278809,209.3505401611328,-136.8033447265625,-417.1411437988281,-519.6389770507812,-92.46758270263672
image_1755774970553704853.png,103.0,73.0,1246.9583086348491,831.9514854315452,684.012256709535,1195.5315701766222,562.9460519253141,363.580084745077,717.6210327148438,-808.0806884765625,-109.06437683105467,-25.52470588684082,193.2381591796875,-137.38851928710938,-416.1694946289063,-541.295654296875,-93.69548034667967
image_1755774970586859057.png,86.0,70.0,1248.9779490398018,830.7061951449108,973.8732010075512,1246.683501523331,275.10474803225065,415.97730637842017,723.2559814453125,-810.362548828125,-114.5017547607422,-37.79440689086914,179.96478271484375,-137.92984008789062,-416.1632385253906,-559.5687255859375,-94.64214324951172
image_1755774970655183739.png,99.0,73.0,1252.4156506278612,830.4283582897341,752.21483183848,1195.5315701766222,500.2008187893812,365.10321188688806,729.6458740234375,-813.4849243164062,-120.67173767089844,-50.17369079589844,166.52854919433594,-138.58241271972656,-416.3374328613281,-578.8139038085938,-95.55657196044922
image_1755774970720101539.png,97.0,76.0,1258.4249194084332,829.5737665648631,786.3161194029524,1144.3796388299136,472.1088000054808,314.8058722650504,737.3961181640625,-818.513671875,-128.5645751953125,-65.61480712890625,150.40672302246094,-139.2314910888672,-416.2245788574219,-601.4346313476562,-96.63711547851562
image_1755774970786528447.png,97.0,75.0,1266.6706018148552,830.0998268226316,786.3161194029524,1161.4302826121498,480.35448241190284,331.33045578951817,744.536865234375,-824.6964111328125,-137.08018493652344,-81.97681427001953,135.1627197265625,-140.09727478027344,-416.3054504394531,-624.6333618164062,-97.69731903076172
image_1755774970821637313.png,97.0,73.0,1276.0805806354208,833.3397194106442,786.3161194029524,1195.5315701766222,489.7644612324684,362.19185076597796,751.32080078125,-832.1592407226562,-145.8969268798828,-97.08367156982422,121.04141998291016,-141.22061157226562,-417.9490966796875,-648.0492553710938,-98.8343276977539
image_1755774970886513373.png,90.0,77.0,1284.1569864938224,842.5704145408666,905.6706258786062,1127.3289950476772,378.4863606152162,284.7585805068105,756.045654296875,-839.3432006835938,-153.3253173828125,-104.45435333251952,113.86134338378906,-141.8333282470703,-419.0338134765625,-667.7809448242188,-99.71714782714844
image_1755774970919782244.png,105.0,80.0,1291.637677116948,854.384951058693,649.9109691450626,1076.1770637009686,641.7267079718854,221.79211264227558,759.6915283203125,-846.9466552734375,-161.06956481933594,-109.79620361328124,108.20724487304688,-142.38882446289062,-421.0090637207031,-687.4812622070312,-100.39762115478516
image_1755774970988379628.png,112.0,79.0,1298.8699478997316,868.1148912168396,530.5564626694088,1093.2277074832048,768.3134852303228,225.11281626636514,762.2405395507812,-855.2244873046875,-168.7610626220703,-113.30306243896484,104.1954116821289,-143.2027587890625,-422.6961669921875,-706.91455078125,-101.11832427978516
image_1755774971020131817.png,89.0,80.0,1305.481335074695,884.3664554669946,922.7212696608424,1076.1770637009686,382.76006541385254,191.810608233974,763.91015625,-863.6190795898438,-176.24258422851562,-114.8468017578125,101.81746673583984,-143.8502655029297,-425.0697326660156,-726.3526611328125,-101.86721801757812
